player,cluster,total_runs,strike_rate,total_fours,total_sixes,total_wickets,economy_rate,total_runs_conceded,mu_batting_glicko,phi_batting_glicko,mu_bowling_glicko,phi_bowling_glicko,avg_impact_residual_batter,avg_impact_residual_bowler
AJ Turner,2,24.0,77.41935483870968,0.0,2.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.117199567458379,0.0
AJ Tye,1,91.0,115.18987341772151,6.0,5.0,48.0,8.445378151260504,1005.0,1500.0,350.0,1640.3459433845007,86.45319584478239,0.1942098609263655,0.240306252673646
AK Markram,1,995.0,126.4294790343075,73.0,35.0,2.0,8.439024390243903,173.0,1500.0,350.0,2349.039954940609,141.2403918663397,0.3000820450249956,0.3964699693149024
AL Menaria,1,401.0,109.26430517711172,24.0,18.0,3.0,7.646017699115044,144.0,1500.0,350.0,1941.4348875494056,148.70705825086966,0.2193067041345286,0.2692204870595168
AM Nayar,1,672.0,114.28571428571428,55.0,20.0,9.0,8.108786610878662,323.0,1500.0,350.0,1883.9479936698144,119.10043782834994,0.2529459705834171,0.1663685017026318
AM Rahane,4,4642.0,120.32141005702437,479.0,103.0,1.0,5.0,5.0,1500.0,350.0,1587.5001997115091,283.9878718717643,0.2579642425399712,-0.1527922327178217
AM Salvi,0,0.0,0.0,0.0,0.0,7.0,7.884615384615385,205.0,1500.0,350.0,1737.3527321526983,127.7649282441656,0.0,0.3790341764897964
AN Ahmed,1,36.0,133.33333333333331,4.0,1.0,15.0,8.535911602209945,515.0,1500.0,350.0,1745.4299187371926,96.84215187890923,0.1733049863393203,0.1993434045800972
AP Dole,1,34.0,147.82608695652172,3.0,1.0,5.0,9.36986301369863,114.0,1500.0,350.0,1693.6190405031002,201.89923439673012,0.6887126594691343,0.4425545128710627
AP Majumdar,2,87.0,112.98701298701299,7.0,2.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.1759280561848476,0.0
AP Tare,2,339.0,118.94736842105263,40.0,11.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2508588483362085,0.0
AR Patel,3,1653.0,125.41729893778452,107.0,79.0,131.0,7.279187817258883,3824.0,1500.0,350.0,2386.436072583784,91.99984378081466,0.2260453920483408,0.2192121234043117
AS Joseph,0,27.0,84.375,3.0,0.0,22.0,9.343612334801762,707.0,1500.0,350.0,1818.677157113958,100.96969296523535,-0.1383222801157297,0.2885190619474324
AS Rajpoot,0,26.0,63.41463414634146,2.0,1.0,24.0,8.93121693121693,844.0,1500.0,350.0,1825.2104939851,94.55823667085215,0.022186676392128,0.3340445088716225
AS Raut,1,194.0,112.79069767441861,13.0,7.0,0.0,9.0,45.0,1500.0,350.0,1747.1282391875304,204.2274776920053,0.2711315459233442,0.2523744452424573
AS Roy,1,26.0,108.33333333333333,3.0,0.0,6.0,8.070422535211268,191.0,1500.0,350.0,2275.9146511345607,142.00815884077426,0.1266726454520381,0.2657424087189719
AS Yadav,2,49.0,122.50000000000001,5.0,2.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.0947257840258237,0.0
AT Rayudu,4,4348.0,124.58452722063038,359.0,173.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2942481431130379,0.0
AU Rashid,1,22.0,129.41176470588235,2.0,1.0,2.0,9.1,91.0,1500.0,350.0,2017.3034439077487,241.31336243731627,0.2667212559122543,0.3224451782691607
AUK Pathan,1,39.0,150.0,5.0,2.0,0.0,9.21951219512195,63.0,1500.0,350.0,1730.0416378139976,236.48354694497377,-0.0056868629014952,0.1282896384793524
Abdul Samad,1,579.0,141.91176470588235,37.0,36.0,2.0,12.327272727272728,113.0,1500.0,350.0,2054.78754339205,207.45015212939444,0.17876458178073,0.4279645422479258
Abhishek Sharma,1,1377.0,148.86486486486484,128.0,73.0,11.0,8.546762589928058,396.0,1500.0,350.0,2228.2292020465193,106.17142235819466,0.235472505415533,0.2537457260976063
Abishek Porel,2,360.0,147.54098360655738,37.0,15.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.1691211669086977,0.0
Akash Deep,1,19.0,158.33333333333331,2.0,1.0,8.0,11.108571428571429,324.0,1500.0,350.0,1697.7539004001678,158.21689902683443,0.1471544163316823,0.4001953511881639
Akash Madhwal,1,4.0,80.0,0.0,0.0,22.0,9.268817204301076,431.0,1500.0,350.0,1639.1739285554545,111.38917787936435,0.2044447784423381,0.3329863384350012
Akash Singh,0,0.0,0.0,0.0,0.0,5.0,9.659574468085106,227.0,1500.0,350.0,1885.7000412908176,149.40004449646082,0.0,0.3830225974119541
Aman Hakim Khan,1,115.0,105.50458715596329,8.0,6.0,0.0,13.0,13.0,1500.0,350.0,1727.378788847784,316.36610555399267,0.2608314446214889,0.8545636455751753
Anand Rajan,0,0.0,0.0,0.0,0.0,10.0,7.62962962962963,206.0,1500.0,350.0,1686.3098026928694,137.0176710934177,0.0,0.2045601631773174
Anirudh Singh,2,63.0,91.30434782608695,6.0,1.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.1117645708679642,0.0
Ankit Sharma,1,87.0,126.08695652173914,7.0,4.0,12.0,7.247999999999999,453.0,1500.0,350.0,2173.765166532292,101.19486224575344,0.1202725298431175,0.2442971774061598
Ankit Soni,0,7.0,77.77777777777779,0.0,1.0,4.0,7.767857142857143,145.0,1500.0,350.0,1976.34064046908,171.50979731375568,0.0602889126245277,0.3711520298837765
Anmolpreet Singh,2,139.0,118.80341880341881,19.0,3.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2829905453435374,0.0
Anuj Rawat,2,318.0,115.21739130434783,26.0,14.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3464400456367357,0.0
Anureet Singh,0,36.0,76.59574468085107,2.0,1.0,21.0,8.874418604651163,636.0,1500.0,350.0,1957.0072235175503,101.42429043792366,0.0112403321435813,0.3201234681532114
Arjun Tendulkar,1,13.0,144.44444444444443,0.0,1.0,4.0,8.457831325301205,117.0,1500.0,350.0,1942.461493763626,171.86528001263056,0.329166295286215,0.6354797727573632
Arshad Khan,1,96.0,143.28358208955223,5.0,6.0,6.0,11.058823529411764,282.0,1500.0,350.0,1592.9919219134886,165.64623075010587,0.4997903840792556,0.4378848208697828
Arshdeep Singh,3,29.0,69.04761904761905,4.0,0.0,84.0,8.659325533379215,2097.0,1500.0,350.0,1964.4463001280135,87.27131129118516,0.1918503837717073,0.2887590176202447
Ashutosh Sharma,2,189.0,160.16949152542372,10.0,15.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3736163805054902,0.0
Atharva Taide,1,247.0,139.54802259887003,27.0,8.0,0.0,24.0,4.0,1500.0,350.0,1589.4469116645164,328.389783933147,0.2741440411719922,0.0130752447625241
Avesh Khan,3,41.0,164.0,3.0,3.0,81.0,8.676258992805755,2010.0,1500.0,350.0,2067.77597097484,84.41752747203573,-0.2448833436771842,0.2711211256170704
Azhar Mahmood,1,388.0,124.7588424437299,39.0,13.0,31.0,7.684782608695652,707.0,1500.0,350.0,1884.1013770938312,88.94505559925439,0.3561761076545698,0.3253547432706353
Azmatullah Omarzai,1,42.0,123.52941176470588,2.0,2.0,4.0,8.885496183206108,194.0,1500.0,350.0,1905.4363621281184,161.60406804093736,0.227965375486885,0.3466632523767929
B Akhil,0,76.0,133.33333333333331,5.0,5.0,7.0,7.647668393782384,246.0,1500.0,350.0,1844.0836850213325,125.0596889113981,-0.188335798805765,0.2286223795394679
B Chipli,1,280.0,109.375,28.0,7.0,0.0,20.0,20.0,1500.0,350.0,1625.0950433164678,333.65476701408545,0.3056145184238228,-0.355853458364498
B Geeves,0,0.0,0.0,0.0,0.0,2.0,11.142857142857142,91.0,1500.0,350.0,718.8317511020833,212.78841394207473,0.0,0.8162420802264857
B Indrajith,2,21.0,67.74193548387096,2.0,0.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.0440218877367992,0.0
B Kumar,3,306.0,90.53254437869822,30.0,3.0,195.0,7.464532019704434,5051.0,1500.0,350.0,2087.738305475785,88.83572763710299,0.0673095040621085,0.2916015320847496
B Laughlin,0,5.0,38.46153846153847,0.0,0.0,10.0,9.5195530726257,284.0,1500.0,350.0,1798.9638037019056,139.82025522061818,0.1096946289930171,0.3742320477348432
B Lee,1,124.0,121.56862745098039,8.0,8.0,30.0,7.3755458515283845,1126.0,1500.0,350.0,1851.1202607699292,85.90888347970647,0.3555604451202199,0.2573975017961299
B Sai Sudharsan,2,1034.0,134.28571428571428,95.0,32.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3124273835575266,0.0
B Stanlake,1,5.0,250.0,1.0,0.0,7.0,8.0,200.0,1500.0,350.0,2365.362793392637,142.20585491954884,0.7153306405534883,0.3900643046710542
B Sumanth,2,35.0,92.10526315789474,3.0,0.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.0672295614843258,0.0
BA Bhatt,1,6.0,85.71428571428571,0.0,1.0,13.0,8.07920792079208,408.0,1500.0,350.0,1783.4273468949348,104.42708084400157,0.565883984283732,0.3756103162682772
BA Stokes,1,935.0,130.22284122562675,81.0,32.0,31.0,8.489626556016598,1023.0,1500.0,350.0,1936.4079020408917,95.62170456387416,0.3050020712762765,0.1916816281062066
BAW Mendis,0,3.0,50.0,0.0,0.0,9.0,7.403225806451613,306.0,1500.0,350.0,2022.3234670261108,112.25563876172411,-0.1039838155071355,0.2976862952577943
BB McCullum,4,2882.0,126.84859154929578,293.0,130.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2735313977672458,0.0
BB Samantray,2,125.0,107.75862068965519,13.0,2.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.3279260760622114,0.0
BB Sran,0,10.0,71.42857142857143,0.0,0.0,20.0,8.918604651162791,767.0,1500.0,350.0,1611.207645056836,95.57101761232018,-0.2135890212497843,0.3271011253944276
BCJ Cutting,1,238.0,163.013698630137,15.0,19.0,12.0,8.958333333333334,430.0,1500.0,350.0,1942.224468592792,103.57554831118874,0.4186311969875358,0.3816424913138548
BE Hendricks,0,1.0,33.33333333333333,0.0,0.0,11.0,9.13375796178344,239.0,1500.0,350.0,2035.295901781196,120.4660250425328,0.1168304003812091,0.241261243068567
BJ Hodge,1,1400.0,121.42237640936686,122.0,43.0,18.0,7.815126050420169,310.0,1500.0,350.0,1956.6120019837504,106.86692538198152,0.3123959148049437,0.1449373203879765
BJ Rohrer,1,193.0,132.1917808219178,21.0,5.0,0.0,10.285714285714285,12.0,1500.0,350.0,1668.5346347784898,303.26636800882795,0.317080570564108,0.5713525381848609
BMAJ Mendis,0,23.0,85.18518518518519,0.0,0.0,1.0,7.199999999999999,36.0,1500.0,350.0,1806.1768980746476,236.3743245254759,0.1101550724645525,0.3665802941166441
BR Dunk,2,40.0,111.11111111111111,7.0,0.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2511899287118931,0.0
BW Hilfenhaus,0,0.0,0.0,0.0,0.0,23.0,7.646153846153846,497.0,1500.0,350.0,1806.396089247732,91.0685082702792,0.0,0.3231284537110794
Basil Thampi,0,32.0,86.48648648648648,1.0,1.0,26.0,9.595547309833023,862.0,1500.0,350.0,1682.0899880912211,96.46081954651416,0.0436527969432151,0.3645157009309305
Bipul Sharma,1,187.0,150.80645161290323,11.0,9.0,22.0,7.9954128440366965,581.0,1500.0,350.0,2143.8712525634346,99.2664837209988,0.3539807072855336,0.3131326796555025
C Green,1,707.0,149.78813559322032,62.0,32.0,20.0,8.766233766233768,675.0,1500.0,350.0,2436.533889235332,95.12531634056846,0.2607438212670673,0.2915893971858834
C Munro,1,177.0,122.91666666666667,19.0,8.0,0.0,7.5,15.0,1500.0,350.0,1834.616635984379,274.4323803413535,0.3366233414785016,0.4590233365536995
C Nanda,0,0.0,0.0,0.0,0.0,2.0,6.959999999999999,58.0,1500.0,350.0,1801.7620817051784,201.4253211494267,-0.0001361002119654,0.2282655744503608
C Sakariya,0,20.0,64.51612903225806,3.0,0.0,20.0,7.956521739130434,610.0,1500.0,350.0,2032.1833993956911,89.91847024507982,-0.0152004645184296,0.2516085683491449
C de Grandhomme,1,303.0,132.31441048034935,18.0,18.0,7.0,8.42608695652174,323.0,1500.0,350.0,2174.084439515525,115.65099271267374,0.237250391168672,0.2853204569263966
CA Ingram,2,205.0,112.02185792349727,22.0,5.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2720206648013367,0.0
CA Lynn,2,1329.0,136.4476386036961,132.0,66.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.2826197233145261,0.0
CA Pujara,2,390.0,96.7741935483871,50.0,4.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.1880937328141622,0.0
CH Gayle,4,4997.0,142.1217292377702,408.0,359.0,19.0,7.756849315068493,755.0,1500.0,350.0,2082.1360335377694,98.92561152421868,0.3888896978293638,0.1753453764397257
CH Morris,3,618.0,149.636803874092,41.0,35.0,107.0,7.918933925596891,2377.0,1500.0,350.0,2058.042500691595,84.54881475220992,0.1915369725640243,0.2439525676192742
CJ Anderson,1,538.0,123.39449541284404,40.0,31.0,14.0,10.0,525.0,1500.0,350.0,1736.794128919571,108.38830402381495,0.4621639350665962,0.2992210063788691
CJ Ferguson,2,98.0,82.35294117647058,9.0,0.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.1446268617212411,0.0
CJ Jordan,1,81.0,100.0,3.0,3.0,36.0,9.297071129707113,1111.0,1500.0,350.0,1685.6680356977668,91.40425563475324,0.182304244086651,0.295355216966358
CJ McKay,0,8.0,53.333333333333336,0.0,0.0,1.0,8.571428571428571,60.0,1500.0,350.0,1782.84752217553,220.41580551274976,0.054321429144708,0.3968279895734695
CK Langeveldt,1,8.0,88.88888888888889,0.0,1.0,13.0,7.236363636363636,199.0,1500.0,350.0,1808.6079477140888,124.5520923486688,0.5492075864684892,0.2909713222109411
CL White,1,971.0,125.45219638242895,76.0,38.0,1.0,11.217391304347826,86.0,1500.0,350.0,1854.1248846388671,191.7469169519917,0.3293307613441948,0.3414040367723935
CM Gautam,2,169.0,106.9620253164557,17.0,6.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.266964495258467,0.0
CR Brathwaite,1,181.0,150.83333333333334,10.0,16.0,16.0,8.661654135338345,384.0,1500.0,350.0,1986.334245839986,109.83582605748258,0.215182647531081,0.3560975564549802
CR Woakes,1,78.0,101.29870129870129,7.0,2.0,31.0,8.734341252699783,674.0,1500.0,350.0,2070.6338382096933,89.58074539030868,0.1670672346098169,0.3334255475882862
CRD Fernando,1,4.0,133.33333333333331,0.0,0.0,19.0,7.373493975903614,306.0,1500.0,350.0,2151.675185538916,106.81232737657878,-0.01647028759011,0.3005684078582757
CV Varun,3,25.0,51.02040816326531,2.0,0.0,85.0,7.544334975369457,2042.0,1500.0,350.0,2500.683480703457,84.55817331245174,0.1186639026706774,0.214288323515235
D Brevis,1,230.0,130.6818181818182,17.0,16.0,1.0,16.0,8.0,1500.0,350.0,1733.9068324969462,317.4799550610205,0.2268989907449359,-0.0356670389163397
D Kalyankrishna,0,3.0,37.5,0.0,0.0,2.0,10.56,88.0,1500.0,350.0,969.4148516671418,207.02813915881313,-0.0135559245721149,0.5286338779768102
D Padikkal,2,1559.0,117.83824640967498,170.0,42.0,0.0,0.0,0.0,1500.0,350.0,1500.0,350.0,0.1772008236916001,0.0
D Pretorius,1,44.0,157.14285714285714,3.0,3.0,7.0,8.746987951807228,242.0,1500.0,350.0,1965.9580132003523,146.1692726853354,0.4453403622707594,0.3216387085805773
D Salunkhe,1,33.0,137.5,5.0,0.0,1.0,9.411764705882353,80.0,1500.0,350.0,1411.567803315638,195.5889758232391,-0.0434215009548274,0.3750363820330269
D Wiese,1,148.0,140.95238095238096,12.0,7.0,17.0,8.73615635179153,447.0,1500.0,350.0,1892.501651889862,101.92542224302778,0.3844981325634717,0.3835002608695171
