batter,avg_impact_residual_batter
FY Fazal,0.1681226971658263
Fazalhaq Farooqi,0.21198440796003373
G Coetzee,-0.23857666457707377
G Gambhir,0.21305766349691946
GB Hogg,0.10839250578942804
GC Smith,0.23385246909512747
GC Viljoen,-0.10840926335980874
GD McGrath,-0.42429917399651573
GD Phillips,0.30939300159183836
GH Vihari,0.10252150387324109
GHS Garton,-0.2009764992904392
GJ Bailey,0.26749985181349484
GJ Maxwell,0.3146118357636253
GR Napier,-0.03959387771816395
Gulbadin Naib,0.21221663064032828
Gurkeerat Singh,0.2453414694430027
H Das,0.12540379692114284
H Klaasen,0.3840246570764492
HC Brook,0.20365758083969443
HE van der Dussen,-0.22338961674448238
HF Gurney,0.19888091620613377
HH Gibbs,0.22663363139795947
HH Pandya,0.25618096921776984
HM Amla,0.34172208045473645
HR Shokeen,0.15157813227480102
HV Patel,0.16808819016095722
Harbhajan Singh,0.1987121842751741
Harmeet Singh,-0.13783738338902984
Harpreet Brar,0.1897416928207204
Harpreet Singh,0.174186126693809
Harshit Rana,-0.10367884906587033
I Malhotra,0.6867463630078137
I Sharma,0.08681838958989081
I Udana,0.08230205091377481
IC Pandey,-0.002203740944006438
IK Pathan,0.20270845333666968
IR Jaggi,0.08339124746097852
IS Sodhi,-0.013763707172272968
Imran Tahir,0.23897510315104062
Iqbal Abdulla,0.23624208421520365
Ishan Kishan,0.2880502758411462
J Arunkumar,0.4444727026789337
J Botha,0.2899807878289039
J Fraser-McGurk,-0.09064167328682764
J Suchith,0.2778987301726968
J Syed Mohammad,0.10603202744871273
J Theron,0.2757367269085039
J Yadav,-0.0016042466331626269
JA Morkel,0.31846688410517365
JA Richardson,-0.08594287020935114
JC Archer,0.04596434854877073
JC Buttler,0.3036338901824337
JD Ryder,0.3047559290031009
JD Unadkat,0.14472845458719727
JDP Oram,0.1459231825152614
JDS Neesham,0.25274007865114767
JE Root,-0.10510640176389328
JE Taylor,0.33809552576847424
JEC Franklin,0.21540899602543115
JH Kallis,0.17168867289044007
JJ Bumrah,0.024574210574810275
JJ Roy,0.2649484111219463
JJ van der Wath,0.1981152059658381
JL Denly,-0.00010969045743071455
JL Pattinson,0.23754797715990783
JM Bairstow,0.2645484112468834
JM Kemp,0.16870474967760005
JM Sharma,0.2478017407484716
JO Holder,0.2657793274633771
JP Behrendorff,-0.21218743850161126
JP Duminy,0.2683149337572923
JP Faulkner,0.2295898594790442
JPR Scantlebury-Searles,-0.209458604548714
JR Hazlewood,0.11292773426418495
JR Hopes,0.27887314955731557
JR Philippe,0.24285113866427072
Jaskaran Singh,0.10499095145097054
Joginder Sharma,0.2945028390481866
K Goel,0.11511545406504585
K Gowtham,-0.009354319580915928
K Kartikeya,0.16345014887981105
K Rabada,0.07942901446812713
K Upadhyay,0.20578402161169468
K Yadav,0.012792851463983922
KA Jamieson,0.3652308591492128
KA Maharaj,-0.3741809334192241
KA Pollard,0.3404243594382102
KAJ Roach,-0.35943711299500924
KB Arun Karthik,0.10397214853190943
KC Cariappa,0.3922712528435003
KC Sangakkara,0.23416328502885492
KD Karthik,0.2898913051096654
KH Pandya,0.29034567085639007
KJ Abbott,-0.018167957931200865
KK Ahmed,-0.05992287140562556
KK Cooper,0.2743691043480424
KK Nair,0.29325502005488624
KL Nagarkoti,-0.04697194710587782
KL Rahul,0.30443439363617547
KM Asif,-0.009343743160535913
KM Jadhav,0.25511582687764955
KMA Paul,0.2670228053986299
KMDN Kulasekara,-0.4095962111821944
KP Appanna,-0.25109456196219726
KP Pietersen,0.3164895094461812
KR Mayers,0.31557350075801566
KR Sen,0.008428700065123989
KS Bharat,0.3081335440014479
KS Sharma,0.050076711078642366
KS Williamson,0.28632758899824057
KV Sharma,0.0336284564179139
KW Richardson,0.15051941817170375
Kamran Akmal,0.34032174415682437
Kamran Khan,0.23033384224201758
Karanveer Singh,0.02470599165356718
Kartik Tyagi,-0.03001525879899648
Kuldeep Yadav,0.053102461605618205
Kumar Kushagra,-0.4640336010200082
L Ablish,-0.007859168303042948
L Balaji,0.19658652984086647
L Ronchi,0.22630911783009625
L Wood,-0.48043142443956316
LA Carseldine,0.20287923906635008
LA Pomersbach,0.23796559085248817
LB Williams,0.009087935310456558
LE Plunkett,0.019201543348675947
LH Ferguson,0.462265091910212
LJ Wright,0.3597376178440217
LMP Simmons,0.3245432439287462
LPC Silva,-0.023126029272479844
LR Shukla,0.15252166229625572
LRPL Taylor,0.19023940052588664
LS Livingstone,0.3197695559675236
Lalit Yadav,0.11743751952742842
Liton Das,-0.7585075871826336
M Ashwin,-0.17666632827258064
M Jansen,0.049329062822264916
M Kaif,0.12853991637677578
M Kartik,0.08730981097243742
M Klinger,0.1120920418520583
M Manhas,0.13143608620423555
M Markande,0.20878937059090988
M Morkel,0.07875235063666604
M Muralitharan,-0.19411817458209912
M Ntini,0.3801369891274553
M Prasidh Krishna,-0.19503806477395277
M Rawat,0.12650882648517264
M Shahrukh Khan,0.31224176386127817
M Theekshana,-0.8182154517108131
M Vijay,0.25634611421893727
M Vohra,0.2429018017664381
M de Lange,-0.48416650230846575
MA Agarwal,0.2891400924965265
MA Khote,0.18407574366775625
MA Starc,0.029412064384078045
MA Wood,0.22311369509698045
MC Henriques,0.26262158191669716
MC Juneja,-0.0013238881232917842
MD Mishra,0.36346848668640647
MD Shanaka,0.18508165174251107
MDKJ Perera,0.3138341948393894
MEK Hussey,0.259113622264177
MF Maharoof,0.5247790590075664
MG Bracewell,0.27062429618412276
MG Johnson,0.15196411808093416
MJ Clarke,0.10317255591217257
MJ Guptill,0.34086833780076287
MJ Lumb,0.23074846693511392
MJ McClenaghan,-0.01915165234928775
MJ Santner,0.23962250202291507
MJ Suthar,-0.4349707088511778
MK Lomror,0.27395539175009676
MK Pandey,0.25187428736448436
MK Tiwary,0.1949749140924345
ML Hayden,0.2601165971833535
MM Ali,0.3312828595805151
MM Patel,0.14589194188352833
MM Sharma,0.05629653849986395
MN Samuels,0.3004133418163564
MN van Wyk,0.27736289110977463
MP Stoinis,0.3047735073232141
MR Marsh,0.2219327353286976
MS Bisla,0.22148614726101284
MS Dhoni,0.32301825656027255
MS Gony,0.3196395220698889
MS Wade,0.050048923237170626
MV Boucher,0.3379235359584405
MW Short,0.278762539961217
Mandeep Singh,0.23102396457635357
Mashrafe Mortaza,-0.5831631057050222
Mayank Dagar,0.003035805365723299
Misbah-ul-Haq,0.2294024148131908
Mohammad Ashraful,0.1577160781178313
Mohammad Asif,0.06128391406021471
Mohammad Hafeez,0.10542782674988779
Mohammad Nabi,0.2269127489028967
Mohammed Shami,0.06310580646546336
Mohammed Siraj,0.27541213851107027
Mohit Rathee,-0.4019566571851392
Mohsin Khan,0.17395258857897014
Mujeeb Ur Rahman,-0.29397809301539046
Mukesh Choudhary,0.37260165851675514
Mukesh Kumar,-0.01566586418689734
Mustafizur Rahman,0.15561204996988562
N Jagadeesan,0.16781166268615108
N Pooran,0.24476375931828528
N Rana,0.3131376081660684
N Saini,0.12140516215254618
N Wadhera,0.39996672572508746
ND Doshi,-0.00861460424023874
NJ Maddinson,0.08679902067961327
NJ Rimmington,4.914892657081893e-06
NK Patel,0.28753945066512676
NL McCullum,0.2506306644400275
NLTC Perera,0.24004472003274904
NM Coulter-Nile,0.09164488545820058
NS Naik,0.0022906059854151794
NT Ellis,0.13276605589695575
NV Ojha,0.2780693625992977
Naman Dhir,0.5209463140586722
Navdeep Saini,0.07739742758837016
Naveen-ul-Haq,0.10084010735007597
Nithish Kumar Reddy,0.4119880638591126
Noor Ahmad,0.09545728003007856
OA Shah,0.2733648580565268
OC McCoy,-0.4681584860382024
OF Smith,0.3519392611923737
P Awana,-0.05083309670178471
P Chopra,0.525112978380946
P Dogra,0.12380374760931714
P Dubey,-0.03782909233197562
P Kumar,0.14170512354294307
P Negi,0.2685468107107079
P Parameswaran,-1.2217999685487223e-05
P Ray Barman,-0.04603101456360365
P Sahu,0.5358723833360255
P Simran Singh,0.3310033867177856
PA Patel,0.19375181813181377
PA Reddy,0.20149250282647643
PBB Rajapaksa,0.2393049014882691
PC Valthaty,0.2651079565347822
PD Collingwood,0.2748072694525498
PD Salt,0.29940395208785964
PJ Cummins,0.26258106363851336
PJ Sangwan,0.12324137907676204
PK Garg,0.22564270457795663
PM Sarvesh Kumar,0.06688263011852946
PN Mankad,0.44222701899030314
PP Chawla,0.10895879299455934
PP Ojha,0.034144874271726265
PP Shaw,0.29034750289204697
PR Shah,0.19489937328173898
PSP Handscomb,-0.09677711315521982
PV Tambe,-0.022326108260374882
PVD Chameera,0.2217116003455527
PWH de Silva,0.24780490669100663
Pankaj Singh,-0.18772490085744287
Parvez Rasool,0.013370764301428962
Q de Kock,0.287655960624874
R Ashwin,0.23772604768540231
R Bhatia,0.18981310914606522
R Bishnoi,0.5811690551284631
R Dhawan,0.15067682856934772
R Dravid,0.22722984923213088
R McLaren,0.07294868420473011
R Ninan,-0.2960834290594972
R Parag,0.30566711929548274
R Powell,0.32392449128673456
R Rampaul,0.16041660986183112
R Ravindra,0.49331561746891645
R Sai Kishore,0.8579296140814773
R Sanjay Yadav,0.0018484535332907552
R Sathish,0.18789640745918015
R Sharma,0.24815349600407036
R Shepherd,0.5135863143901738
R Shukla,0.20076989603616885
R Tewatia,0.30588968117540705
R Vinay Kumar,0.12382520152419274
RA Bawa,0.43985168315832696
RA Jadeja,0.2437023029475484
RA Tripathi,0.24339935409559468
RD Chahar,0.2146562963520045
RD Gaikwad,0.33811710548183527
RE Levi,0.27699706480526964
RE van der Merwe,0.32227962238524177
RG More,-8.140302757697615e-05
RG Sharma,0.3093133309741699
RJ Gleeson,-0.35403124204887315
RJ Harris,0.12789959906592172
RJ Peterson,-0.14356801231372102
RJ Quiney,0.15482412239693946
RJW Topley,0.22117028990671206
RK Bhui,-0.12476637242882237
RK Singh,0.26317141186915716
RM Patidar,0.3786543673871983
RN ten Doeschate,0.4343408403870658
RP Meredith,0.00042503198115988725
RP Singh,-0.16818414241104543
RR Bhatkal,-0.0012186852417214013
RR Pant,0.34867655598105257
RR Powar,0.3293679024234019
RR Raje,0.2614219959237068
RR Rossouw,0.36064366328062536
RR Sarwan,0.10996249930053818
RS Bopara,0.25668692406911614
RS Gavaskar,0.18399761607415452
RS Sodhi,-0.7172808404002173
RT Ponting,0.10074289037691415
RV Gomez,0.2864424476768337
RV Patel,0.2696763618808675
RV Uthappa,0.2981855094246297
Rahmanullah Gurbaz,0.24868532866545912
Ramandeep Singh,0.10249205323197912
Rashid Khan,0.20706379648855097
Rasikh Salam,0.088480098363769
Ravi Bishnoi,-0.02336020564076467
S Anirudha,0.21715024538703942
S Aravind,0.09222142646455854
S Badree,0.023856234603902595
S Badrinath,0.27263628416936153
S Chanderpaul,-0.021923736203527035
S Dhawan,0.2418866945439136
S Dube,0.31714407008926393
S Gopal,0.15867252032680437
S Kaul,0.16475462697862442
S Kaushik,8.974321022170992e-05
S Ladda,-0.0035768604573724904
S Lamichhane,-0.002641415271608354
S Nadeem,-0.02581570614302059
S Narwal,0.1351823898130228
S Rana,0.2871672771231208
S Randiv,-0.22350515200760593
S Sohal,0.34622112911235725
